project,views_sum,processed_views_mean
bm.b,66,1.5757575757575757
bm.d,34,1.2941176470588236
bm.m,386,2.082901554404145
bm.m.b,39,2.1794871794871793
bm.m.d,23,1.0869565217391304
bm.m.q,25,1.16
bm.q,57,1.9473684210526316
bn,85698,6.166818362155476
bn.b,1155,2.238095238095238
bn.d,4325,13.160462427745665
bn.m,616811,32.60860295941544
bn.m.b,6630,7.368325791855203
bn.m.d,27446,29.630620126794433
bn.m.q,1787,4.253497481813095
bn.m.s,90896,1.3525127618377046
bn.m.voy,1337,1.8721017202692596
bn.q,614,2.413680781758958
bn.s,4688,1.5422354948805461
bn.voy,440,1.9318181818181819
bo,2380,2.4168067226890755
bo.b,37,1.054054054054054
bo.d,62,1.967741935483871
bo.m,6167,1.4141397762283119
bo.m.b,61,1.1311475409836065
bo.m.d,20,1.1
bpy,2689,2.7947192264782448
bpy.m,3658,3.5396391470749045
br,8970,2.2240802675585285
br.d,1323,3.0982615268329554
br.m,7100,1.4619718309859155
br.m.d,1717,1.0559114735002912
br.m.m,1043,1.8187919463087248
br.m.q,42,1.2857142857142858
br.m.s,7390,1.0184032476319351
br.q,91,2.2967032967032965
br.s,2068,1.206963249516441
bs,28595,3.251652386780906
bs.b,153,2.0588235294117645
bs.d,556,2.9388489208633093
bs.m,71930,7.330404559988878
bs.m.b,186,3.5053763440860215
bs.m.d,644,1.2422360248447204
bs.m.n,132,1.1666666666666667
bs.m.q,494,1.2955465587044535
bs.m.s,983,1.2014242115971516
bs.n,391,10.427109974424553
bs.q,385,1.612987012987013
bs.s,559,1.697674418604651
btm,817,12.68421052631579
btm.d,188,8.25531914893617
btm.m,380,2.1157894736842104
btm.m.d,33,1.6666666666666667
bug,1153,3.6782307025151777
bug.m,966,1.2173913043478262
bxr,1778,2.8931383577052867
bxr.m,814,1.5282555282555284
ca,126935,10.224863118919131
ca.b,1083,2.0009233610341646
ca.d,5066,2.8523489932885906
ca.m,200112,15.790147517390261
ca.m.b,2932,1.1493860845839017
ca.m.d,11283,1.3869538243374988
ca.m.m,649,1.0338983050847457
ca.m.n,587,1.9846678023850086
ca.m.q,597,2.7520938023450587
ca.m.s,8907,1.0673627484001347
ca.n,851,8.297297297297296
ca.q,644,2.142857142857143
ca.s,2414,1.3744821872410937
cbk-zam,1752,2.8378995433789953
cbk-zam.m,1942,1.1709577754891864
cdo,5201,2.3343587771582386
cdo.m,18673,1.0867562791195844
ce,9889,1.9074729497421377
ce.m,3983,1.2857142857142858
ceb,28621,1.648824289857098
ceb.m,100349,1.1643265005132089
ch,1085,4.341935483870968
ch.b,31,1.903225806451613
ch.d,53,2.207547169811321
ch.m,1717,1.1875364006988933
ch.m.b,26,2.1538461538461537
ch.m.d,14,1.1428571428571428
cho,250,6.176
cho.m,56,3.4642857142857144
chr,1621,3.824182603331277
chr.d,262,6.122137404580153
chr.m,3709,1.3143704502561337
chr.m.d,65,1.1846153846153846
chy,753,4.378486055776892
chy.m,216,1.9259259259259258
ckb,11440,4.400174825174825
ckb.d,183,2.4754098360655736
ckb.m,17942,1.8070449225281462
ckb.m.d,138,1.1304347826086956
cn.m,55,2.8181818181818183
cn.m.m,27,3.1481481481481484
co,2307,2.8404854789770266
co.b,136,1.5588235294117647
co.d,496,5.112903225806452
co.m,1913,1.610559330893884
co.m.b,44,1.1363636363636365
co.m.d,460,1.1478260869565218
co.m.m,312,2.5064102564102564
co.m.q,29,1.1379310344827587
co.q,65,1.7692307692307692
commons.m,2047133,98.20964490338439
commons.m.m,1378666,477.35005432787926
cr,481,5.648648648648648
cr.d,28,2.857142857142857
cr.m,155,1.5806451612903225
cr.m.d,8,2
cr.m.q,8,2
cr.q,11,1.1818181818181819
crh,3866,2.1536471805483703
crh.m,2596,2.2966101694915255
cs,653032,29.399689448602825
cs.b,3744,63.164529914529915
cs.d,13854,5.850729031326693
cs.m,1294072,63.66527673885224
cs.m.b,592,1.3918918918918919
cs.m.d,18396,2.061969993476843
cs.m.n,484,1.1694214876033058
cs.m.q,1312,2.846036585365854
cs.m.s,12310,1.135174654752234
cs.m.v,425,1.2682352941176471
cs.m.voy,204,1.6568627450980393
cs.n,746,11.05361930294906
cs.q,1584,2.7563131313131315
cs.s,3490,1.5524355300859598
cs.v,802,5.5187032418952615
cs.voy,618,3.663430420711974
csb,1704,3.125586854460094
csb.d,217,4.67741935483871
csb.m,1846,1.1365113759479957
csb.m.d,97,1.1855670103092784
cu,1093,3.9405306495882892
cu.m,511,2.1663405088062624
cv,6074,2.0754033585775438
cv.b,70,2.085714285714286
cv.m,3827,1.3490985105827018
cv.m.b,56,1.2857142857142858
cy,20090,8.389646590343455
cy.b,56,2.607142857142857
cy.d,674,3.516320474777448
cy.m,71971,1.0488530102402356
cy.m.b,32,1.125
cy.m.d,1013,1.0572556762092793
cy.m.q,124,1.0806451612903225
cy.m.s,3403,1.0464296209227153
cy.q,166,1.9518072289156627
cy.s,2556,1.4280125195618154
da,175469,23.362252021724636
da.b,427,2.5878220140515222
da.d,1512,4.088624338624339
da.m,494515,54.633382202764324
da.m.b,169,1.3431952662721893
da.m.d,2320,1.1043103448275862
da.m.q,254,1.858267716535433
da.m.s,2711,1.147547030616009
da.q,296,2.6554054054054053
da.s,1426,1.4754558204768584
dag,2781,2.450557353469975
dag.m,3481,1.2763573685722494
de,8566481,1716.2524921259967
de.b,19483,3.1641430991120463
de.d,94014,20.14648882081392
de.m,15592172,710.5212161589803
de.m.b,27614,2.251466647352792
de.m.d,113251,7.092732073005978
de.m.n,1627,2.0952673632452368
de.m.q,3304,3.096852300242131
de.m.s,103338,1.1824885327759391
de.m.v,18056,1.0398759415152858
de.m.voy,37807,2.933081175443701
de.n,5850,24.88102564102564
de.q,3211,3.3942696979134226
