project,views,processed_views
bm,790,6.553818706803657
bm.b,66,1.8421052631578947
bm.d,34,1.4357142857142857
bm.m,386,4.048492688679093
bm.m.b,39,1.7307692307692308
bm.m.d,23,1.3
bm.m.q,25,1.4285714285714286
bm.q,57,3.76984126984127
bn,85698,8.896835356882894
bn.b,1155,3.3117623359474546
bn.d,4325,23.693187886281905
bn.m,616811,62.08130145922184
bn.m.b,6630,24.52039861851486
bn.m.d,27446,127.96464991689832
bn.m.q,1787,5.700395302643383
bn.m.s,90896,3.71436733007285
bn.m.voy,1337,2.321359795510222
bn.q,614,3.3261293557659912
bn.s,4688,1.9938540632175201
bn.voy,440,2.994857748933836
bo,2380,3.1394703619151834
bo.b,37,1.0555555555555556
bo.d,62,2.105
bo.m,6167,1.5703156046455522
bo.m.b,61,1.1476190476190478
bo.m.d,20,1.2307692307692308
bpy,2689,3.5963562677122933
bpy.m,3658,5.258713987340594
br,8970,2.6258842963435476
br.d,1323,6.512964997310042
br.m,7100,1.8327012172396724
br.m.d,1717,1.3543551499807716
br.m.m,1043,2.4774396503094014
br.m.q,42,1.6235294117647059
br.m.s,7390,1.0966810648654655
br.q,91,3.4909090909090907
br.s,2068,1.6373950137508206
bs,28595,4.087331155036503
bs.b,153,2.548611111111111
bs.d,556,5.488922789701075
bs.m,71930,9.616916467508517
bs.m.b,186,6.238419913419914
bs.m.d,644,1.3998299296382217
bs.m.n,132,1.6649940968122785
bs.m.q,494,1.4262193740508569
bs.m.s,983,1.6090483064811272
bs.n,391,32.48561096554517
bs.q,385,1.6720978580953005
bs.s,559,3.2464268864014407
btm,817,36.49586233404292
btm.d,188,55.666666666666664
btm.m,380,1.9994619028691438
btm.m.d,33,2.4166666666666665
bug,1153,5.8645355156234125
bug.m,966,1.3614115050431452
bxr,1778,3.960447830639079
bxr.m,814,1.568837863204304
ca,126935,13.53287842953968
ca.b,1083,3.5181598181605764
ca.d,5066,4.09468334908582
ca.m,200112,18.58899554612146
ca.m.b,2932,1.4681863339496948
ca.m.d,11283,1.5154934565479932
ca.m.m,649,1.0130145969445996
ca.m.n,587,6.422717240427197
ca.m.q,597,5.765976176043644
ca.m.s,8907,1.7569217251871043
ca.n,851,17.87652226322766
ca.q,644,3.067730463396115
ca.s,2414,1.8825691368514024
cbk-zam,1752,4.466945176319194
cbk-zam.m,1942,2.3762721345721944
cdo,5201,3.4404770896829517
cdo.m,18673,1.4127574187386394
ce,9889,2.319351468746931
ce.m,3983,1.4971374278307101
ceb,28621,1.957753143132967
ceb.m,100349,2.5348509922779656
ch,1085,8.089297775512623
ch.b,31,3.230769230769231
